Team,Rotation,Serve Loc,Speed,Pass Loc,Passer #,PassRTG,OH Path,MH Path,RS Path,Setter #,Setter zone,Set,Hitter #,Hit To,Result,Speed,FBWL
ASU,1,c,o,5,7,3,5,1,4,8,3,4,15,t6,a,-,
ASU,1,c,o,5,7,0,,,,,,,,,,,l
ASU,1,c,o,5,7,1,,,,,,,,,,,
ASU,1,c,o,6,7,1,5,1,4,8,1,bra,7,1,a,+,
ASU,1,c,o,1,22,3,5,1,4,8,3,5,22,1,a,o,
ASU,1,c,o,5,7,3,5,1,4,8,3,1,22,5,a,+,
ASU,1,c,o,5,7,1,5,1,4,8,1,5,22,1,a,+,
ASU,1,a,o,7,6,3,5,3,4,8,3,3,4,t3,a,-,
ASU,1,a,o,6,7,3,5,1,4,8,3,5,22,1,a,+,
ASU,1,a,o,6,11,1,5,1,4,4,4,4,15,6,a,o,
ASU,1,c,o,6,11,3,5,1,4,8,3,5,22,1,k1,+,w
ASU,1,c,+,5,11,0,,,,,,,,,,,l
ASU,1,c,o,6,11,3,5,1,4,8,3,5,22,6,ba,o,
ASU,2,a,o,5,7,3,4,1,5,8,3,5,15,1,bk1,+,w
ASU,2,a,o,6,11,3,4,b,5,8,3,b,4,5,a,+,
ASU,2,a,o,1,3,3,4,1,5,8,3,4,7,t2,k,-,w
ASU,2,c,o,6,11,3,4,1,5,8,4,4,7,t2,e2,-,l
ASU,2,c,o,6,11,3,4,b,5,8,3,b,4,1,k1,+,w
ASU,2,c,o,5,12,3,4,1,5,8,3,4,12,1,e1,+,l
ASU,2,c,o,6,11,3,4,1,5,8,3,4,12,1,k,+,w
ASU,2,c,o,5,7,3,4,1,5,8,3,1,4,t5,a,-,
ASU,2,c,o,5,7,1,4,1,5,8,6,5,15,1,a,o,
ASU,3,b,o,5,7,1,4,3,5,8,5,5,15,1,be1,+,l
ASU,3,b,o,5,7,1,4,3,5,8,6,5,15,5,e5,+,l
ASU,3,b,o,6,3,3,4,3,5,8,3,4,4,1,bk1,+,w
ASU,3,b,o,6,3,2,4,3,5,8,3,3,13,5,bk5,+,w
ASU,3,a,o,6,3,2,4,3,5,8,3,5,15,1,k1,+,w
ASU,3,a,o,6,3,2,4,1,5,8,3,4,12,t2,a,-,
ASU,3,b,o,1,11,2,4,1,5,8,3,5,15,t5,a,-,
ASU,3,b,o,5,7,0,,,,,,,,,,,l
ASU,3,b,o,5,7,0,,,,,,,,,,,
ASU,3,b,o,1,11,3,4,1,5,8,3,5,15,1,a,o,
ASU,3,b,o,6,11,0,,,,,,,,,,,l
ASU,3,b,o,6,11,3,4,1,5,8,3,1,13,1,a,o,
ASU,3,b,o,6,11,1,4,1,5,8,6,4,12,6,a,+,
ASU,3,a,o,1,15,3,4,1,5,10,3,4,12,t2,a,-,
ASU,4,b,o,3,13,3,5,1,4,21,3,5,7,t4,k,-,w
ASU,4,b,o,6,11,0,,,,,,,,,,,l
ASU,4,b,o,6,3,3,4,1,5,21,3,1,13,1,a,+,
ASU,4,b,o,6,3,3,4,1,5,21,3,4,12,5,be5,+,l
ASU,4,b,o,6,11,0,,,,,,,,,,,l
ASU,4,b,o,1,12,1,5,1,4,21,6,4,22,5,a,+,
ASU,4,b,o,3,13,3,5,1,4,21,3,sd3,21,sd3,k3,-,w
ASU,4,b,o,5,22,3,5,1,4,21,3,4,19,5,bk5,+,w
ASU,5,b,o,6,11,3,4,1,5,21,3,5,19,1,a,o,
ASU,5,b,o,6,11,2,4,1,5,21,3,1,13,1,k1,+,w
ASU,5,b,o,6,11,1,,,,,,,,,,,
ASU,5,b,o,1,11,3,4,1,5,21,3,4,22,6,e6,+,l
ASU,5,b,o,6,11,3,4,1,5,21,3,5,19,1,e1,+,l
ASU,5,b,o,1,13,1,4,1,5,21,1,4,22,5,k5,+,w
ASU,5,b,o,6,11,2,4,1,5,21,3,5,19,1,a,+,
ASU,5,b,o,6,11,3,4,1,5,21,3,4,22,6,a,+,
ASU,6,a,o,5,7,1,,,,,,,,,,,
ASU,6,a,o,1,11,2,4,1,5,21,1,4,22,1,e1,+,l
ASU,6,a,o,6,11,2,4,1,5,21,3,5,19,1,a,o,
ASU,6,a,o,6,11,1,,,,,,,,,,,
ASU,6,a,o,5,7,1,4,1,5,11,1,4,22,5,ba5,o,
ASU,6,a,o,6,4,3,4,c,,8,3,4,22,5,be5,+,l
ASU,6,a,o,5,7,3,4,1,5,21,3,4,22,5,a,+,
ASU,6,a,o,6,12,3,4,1,5,21,3,4,22,t2,a,-,
ASU,6,a,o,5,12,3,4,1,5,21,3,5,19,1,bk1,+,w
ASU,6,a,o,1,11,3,4,c,,8,3,4,22,t2,k,-,w
ASU,6,a,o,1,11,3,4,1,5,21,3,4,22,t2,a,-,
ASU,6,a,o,6,12,3,4,1,5,21,3,4,22,k,ba5,o,
ASU,6,a,o,5,22,3,4,1,5,21,3,5,19,5,bk5,+,w
ASU,1,A,O,5,3,3,5,B,4,21,3,5,7,T4,BA,O,
ASU,1,A,O,5,3,1,5,B,4,21,4,4,15,1,A,O,
ASU,1,A,O,5,3,2,5,1,4,21,3,4,15,6,BA,O,
ASU,1,A,O,5,7,2,4,1,5,21,3,5,15,6,K,+,W
ASU,1,A,O,5,7,1,4,1,5,21,6,4,7,6,A,O,
ASU,1,C,O,5,3,2,4,2,5,21,3,2,4,5,BK,+,W
ASU,1,C,O,6,3,3,4,C,2,21,3,2,15,11,A,O,
ASU,1,C,O,6,3,2,4,3,5,21,2,3,4,1,K,O,W
ASU,1,A,O,6,3,3,4,3,5,21,3,5,15,1,K,+,W
ASU,1,A,O,5,7,3,4,3,5,21,3,3,4,5,E,O,L
ASU,1,A,O,5,7,2,4,3,5,21,4,3,4,6,BE,O,L
ASU,1,A,O,3,4,3,4,3,5,21,3,4,7,6,BE,O,L
ASU,1,A,O,6,11,0,,,,,,,,,,,L
ASU,1,A,O,5,7,1,4,1,5,21,2,5,15,T6,A,-,
ASU,1,A,O,5,7,3,4,1,5,21,3,5,15,T4,K,-,W
ASU,1,A,O,6,11,0,,,,,,,,,,,L
ASU,1,A,O,5,3,1,5,1,4,11,6,4,15,5,K,O,W
ASU,2,C,O,5,11,1,4,2,5,21,6,4,22,T1,A,-,
ASU,2,C,O,5,22,1,4,2,5,21,6,2,4,T1,E,-,L
ASU,2,C,O,1,7,2,4,3,5,21,2,5,15,1,A,+,
ASU,2,C,O,6,11,2,4,3,5,21,2,5,15,1,K,+,W
ASU,2,C,O,1,7,1,4,3,5,21,6,5,15,1,BA,O,
ASU,2,C,O,6,11,2,4,3,5,21,4,5,15,6,BA,O,
ASU,2,C,O,5,11,1,4,B,5,21,6,4,22,1,A,+,
ASU,2,C,O,5,11,1,4,2,5,21,6,2,4,5,K,+,W
ASU,2,A,O,1,7,3,4,2,5,21,3,4,22,1,BK,O,W
ASU,2,A,O,5,11,2,4,3,5,21,2,5,15,1,K,+,W
ASU,2,C,O,6,11,2,4,2,5,21,1,4,22,6,K,+,W
ASU,2,C,O,1,7,3,4,3,5,21,3,5,15,T4,K,-,W
ASU,2,C,O,5,11,1,4,2,5,21,5,4,22,5,K,O,W
ASU,3,C,O,6,7,2,4,B,5,21,3,4,22,6,E,O,L
ASU,3,C,O,5,7,3,4,B,5,21,3,4,22,6,K,O,W
ASU,3,C,O,1,11,3,4,2,5,21,3,4,22,1,E,O,L
ASU,3,C,O,6,7,0,,,,,,,,,,,L
ASU,3,C,O,6,5,1,4,2,5,21,6,4,22,6,E,+,L
ASU,3,C,O,6,7,2,4,2,5,21,3,5,15,5,A,+,
ASU,3,C,O,5,22,2,4,2,5,21,2,5,15,5,BK,O,W
ASU,3,C,O,6,7,3,4,2,5,21,3,5,15,5,E,O,L
ASU,3,C,O,5,22,1,4,2,5,21,1,BRA,7,T3,K,-,W
ASU,3,A,O,6,7,0,,,,,,,,,,,L
ASU,3,A,O,5,7,1,4,2,5,21,5,5,15,R1,A,-,
ASU,4,A,O,6,7,1,5,1,4,8,1,4,19,6,BA,O,
ASU,4,A,O,5,7,0,,,,,,,,,,,L
ASU,4,A,O,6,7,3,5,B,4,8,3,B,13,1,BE,O,L
ASU,4,A,O,5,7,0,,,,,,,,,,,L
ASU,4,A,O,5,7,0,,,,,,,,,,,L
ASU,4,A,O,6,7,1,4,C,2,8,3,4,22,,BE,,L
ASU,4,A,O,5,22,1,4,C,2,8,1,FB,7,T1,A,-,
ASU,4,A,O,6,5,0,,,,,,,,,,,L
ASU,4,A,O,6,5,1,4,C,2,13,4,4,22,1,A,O,
ASU,4,A,O,6,5,0,,,,,,,,,,,L
ASU,4,A,O,6,7,2,4,C,2,8,2,4,22,1,A,O,
ASU,4,A,O,1,11,0,,,,,,,,,,,L
ASU,4,A,O,1,11,1,5,1,4,8,6,5,22,6,A,O,
ASU,4,A,O,6,7,1,4,C,2,13,6,C,13,1,BA,O,
ASU,4,A,O,6,11,3,4,C,2,8,3,C,13,5,K,O,W
ASU,4,A,O,6,7,3,4,C,2,8,3,4,22,6,BA,O,
ASU,4,A,O,6,7,2,5,3,4,8,3,5,22,6,A,+,
ASU,5,B,O,6,11,2,4,2,5,8,2,2,13,T3,A,-,
ASU,5,B,O,1,3,0,,,,,,,,,,,L
ASU,5,B,O,6,7,3,4,B,5,8,3,4,7,5,K,+,W
ASU,5,B,O,1,3,1,4,B,5,8,6,4,7,6,K,O,W
ASU,5,B,O,1,3,0,,,,,,,,,,,L
ASU,5,B,O,1,3,1,4,B,5,11,6,4,7,R1,A,-,
ASU,5,A,O,1,3,2,4,3,5,8,3,5,19,T4,K,-,W
ASU,5,A,O,1,3,0,,,,,,,,,,,L
ASU,5,A,O,1,3,0,,,,,,,,,,,L
ASU,5,A,O,1,11,1,4,2,5,8,1,5,19,1,BA,O,
ASU,5,B,O,1,3,1,4,2,5,7,5,FB,19,T1,A,-,
ASU,5,B,O,6,3,1,4,2,5,8,1,4,7,T6,K,-,W
ASU,5,B,O,1,11,2,4,3,5,8,2,5,19,1,K,O,W
ASU,6,A,O,6,15,0,,,,,,,,,,,L
ASU,6,A,O,6,3,1,4,B,,21,6,4,7,5,E,O,L
ASU,6,A,O,6,7,1,,,,15,1,FB,3,T1,A,-,
ASU,6,A,O,5,7,3,4,B,,21,3,4,7,T1,K,-,W
ASU,6,A,O,5,7,1,4,3,5,8,5,4,7,5,A,O,
ASU,6,A,O,6,3,2,4,2,5,8,3,2,4,1,K,O,W
ASU,6,A,O,5,7,2,4,B,5,8,3,B,4,6,BA,O,
ASU,6,C,O,5,3,2,4,2,5,8,2,5,19,R1,A,-,
ASU,6,C,O,6,3,1,4,3,5,8,6,5,19,6,BK,O,W
ASU,6,C,O,6,3,3,4,3,5,8,3,4,7,1,BA,O,
ASU,6,C,O,6,3,2,4,3,5,8,2,3,4,T6,A,-,
ASU,6,C,O,6,11,2,4,3,5,8,3,5,19,1,BA,O,
ASU,1,C,O,6,11,2,5,2,4,21,2,2,4,1,A,+,
ASU,1,C,O,6,11,1,5,2,4,21,1,4,15,1,K,+,W
ASU,1,C,O,5,11,2,5,2,4,21,2,4,15,T2,BE,-,L
ASU,1,C,O,1,7,3,5,2,4,21,3,5,7,1,K,+,W
ASU,1,C,O,1,7,2,5,3,4,21,2,5,7,6,K,O,W
ASU,1,B,+,6,11,2,5,2,4,21,4,4,15,T5,A,-,
ASU,1,B,+,6,11,1,5,2,4,21,6,4,15,T1,E,-,L
ASU,1,B,+,1,11,0,,,,,,,,,,,L
ASU,1,B,+,6,11,3,5,2,4,21,3,2,4,1,K,O,W
ASU,1,B,+,6,11,1,5,2,4,21,6,4,15,6,A,+,
ASU,1,B,-,5,4,1,5,3,4,21,1,4,15,5,E,O,L
ASU,1,B,O,5,22,1,,,,,,,,,,,
ASU,1,B,O,5,7,1,4,3,5,21,5,4,22,5,A,+,
ASU,4,A,O,6,11,1,5,3,4,8,6,5,22,5,BA,O,
ASU,4,A,O,1,11,1,5,3,4,13,5,4,19,5,A,O,
ASU,4,A,O,1,11,2,5,3,4,8,2,5,22,6,BK,O,W
ASU,4,A,O,1,11,2,4,2,5,8,3,4,22,6,BA,O,
ASU,4,A,O,6,7,2,4,2,5,8,2,2,13,T4,K,-,W
ASU,4,A,O,5,7,1,5,3,4,8,6,5,22,6,A,+,
ASU,2,A,O,6,11,3,4,2,5,21,3,5,15,1,A,+,
ASU,2,A,O,6,7,1,4,2,5,21,6,4,22,6,K,O,W
