Team,Rotation,Serve Loc,Speed,Pass Loc,Passer #,PassRTG,OH Path,MH Path,RS Path,Setter #,Setter zone,Set,Hitter #,Hit To,Result,Speed,FBWL
AUB,1,A,O,5,2,2,5,3,4,23,3,4,12,6,BK,O,W
AUB,1,A,O,5,2,2,5,3,4,23,2,4,12,T2,K,-,W
AUB,1,A,O,1,25,2,5,3,4,23,2,4,12,5,BK,O,W
AUB,1,A,O,1,25,3,5,3,4,23,3,5,25,1,K,+,W
AUB,1,A,O,1,25,3,5,3,4,23,3,4,12,5,A,O,
AUB,1,A,O,6,15,3,5,3,4,23,3,3,17,5,A,O,
AUB,1,A,O,5,2,2,5,3,4,23,3,5,25,T3,A,-,
AUB,2,A,O,5,15,1,4,3,5,23,1,4,2,5,A,O,
AUB,2,A,O,1,25,1,4,3,5,23,1,BRA,25,1,A,-,
AUB,2,A,O,6,15,1,4,3,5,23,6,4,2,T6,A,-,
AUB,2,A,O,1,25,2,4,3,5,23,2,4,2,6,A,O,
AUB,2,A,O,1,25,2,4,3,5,23,2,5,12,T4,A,-,
AUB,2,A,O,6,15,3,4,3,5,23,3,5,12,6,BA,O,
AUB,2,C,O,1,25,1,4,3,5,23,6,4,2,1,A,O,
AUB,2,C,O,1,25,2,4,3,5,23,2,5,12,1,BK,O,W
AUB,2,C,O,6,25,1,4,3,5,23,3,4,2,T2,A,-,
AUB,2,C,O,6,15,1,4,3,5,23,6,4,2,5,K,+,W
AUB,2,A,O,6,15,3,4,3,5,23,3,5,12,5,K,O,W
AUB,2,C,O,1,25,2,4,3,5,23,2,5,12,R3,A,-,
AUB,2,C,O,1,25,0,,,,,,,,,,,L
AUB,2,C,O,1,25,2,4,3,5,23,2,5,12,1,K,O,W
AUB,3,C,O,4,2,2,4,3,5,23,4,4,2,1,BE,O,L
AUB,3,C,O,6,25,3,4,3,5,23,3,5,12,5,E,O,L
AUB,3,C,O,5,2,3,4,3,5,23,3,3,11,6,A,O,
AUB,3,C,O,6,25,1,4,3,5,23,3,4,2,5,K,O,W
AUB,3,C,O,6,25,3,4,3,5,23,3,3,11,1,BK,O,W
AUB,3,C,O,5,25,1,4,3,5,23,3,4,2,1,A,-,
AUB,3,C,O,5,2,2,4,3,5,23,3,BRA,25,5,A,+,
AUB,3,A,O,6,25,2,4,3,5,23,2,5,12,R5,A,-,
AUB,3,A,O,6,25,1,4,3,5,23,1,4,2,5,A,-,
AUB,3,B,O,6,25,1,4,3,5,23,6,5,12,T4,A,-,
AUB,3,C,O,5,25,0,,,,,,,,,,,
AUB,3,C,O,6,25,3,4,3,5,23,3,4,2,1,K,O,W
AUB,3,C,O,5,2,3,4,3,5,23,3,3,11,T1,A,-,
AUB,4,A,O,6,15,3,5,3,4,6,3,3,11,T1,A,-,
AUB,4,A,O,5,25,3,5,3,4,6,3,4,8,5,A,O,
AUB,4,C,O,6,15,1,5,3,4,6,6,4,2,5,K,O,W
AUB,4,C,O,6,15,3,5,3,4,6,3,3,11,1,BK,O,W
AUB,4,A,O,1,2,3,5,3,4,6,3,3,11,T1,E,-,L
AUB,4,C,O,1,2,2,5,3,4,6,3,4,8,5,E,O,L
AUB,4,A,O,5,25,0,,,,,,,,,,,L
AUB,4,A,O,5,25,2,5,3,4,6,3,5,2,T6,BE,-,L
AUB,4,A,O,6,15,2,5,3,4,6,3,BRA,25,6,A,-,
AUB,4,A,O,5,25,0,,,,,,,,,,,
AUB,4,A,O,5,25,1,5,3,4,2,1,4,8,T1,A,-,
AUB,4,A,O,5,15,2,5,3,4,6,3,5,2,6,A,O,
AUB,5,C,O,6,2,2,4,3,5,6,3,4,25,5,K,O,W
AUB,5,C,O,5,15,3,4,3,5,6,3,3,11,1,K,O,W
