Team,Rotation,Serve Loc,Speed,Pass Loc,Passer #,PassRTG,OH Path,MH Path,RS Path,Setter #,Setter zone,Set,Hitter #,Hit To,Result,Speed,FBWL
CCU,4,C,O,5,7,3,5,1,4,8,3,5,19,6,A,O,
CCU,1,C,O,6,11,1,5,1,4,7,5,5,19,6,E,O,L
CCU,1,C,O,5,7,0,,,,,,,,,,,L
CCU,4,C,O,5,7,2,5,3,4,8,2,5,19,T4,A,-,
CCU,4,C,O,5,7,2,5,B,4,8,3,5,19,6,BE,O,L
CCU,4,C,O,5,19,1,4,C,2,8,2,C,10,6,K,O,W
CCU,1,C,O,5,19,0,,,,,,,,,,,L
CCU,1,C,O,5,19,1,4,C,2,11,5,4,19,6,BA,O,
CCU,4,C,O,5,19,3,4,C,2,8,3,C,10,5,BK,O,W
CCU,1,C,O,5,7,0,,,,,,,,,,,L
CCU,4,C,O,6,4,3,4,C,2,8,3,2,7,1,K,O,W
CCU,4,A,O,5,19,3,4,C,2,8,3,C,10,5,BA,O,
CCU,4,C,O,6,1,2,5,B,4,8,4,B,10,5,A,O,
CCU,4,C,O,5,7,2,4,C,2,8,2,2,7,1,E,O,L
CCU,1,A,O,1,10,0,,,,,,,,,,,L
CCU,1,C,-,2,10,2,4,C,2,17,2,2,7,1,K,O,W
CCU,1,C,O,1,1,3,4,C,2,17,3,2,7,1,K,O,W
CCU,5,C,O,6,1,2,4,3,5,8,2,5,7,1,K,+,W
CCU,5,C,O,5,11,2,4,B,5,8,4,4,11,T2,E,-,L
CCU,5,C,O,6,1,3,4,3,5,8,3,3,10,6,K,O,W
CCU,5,C,O,6,1,3,4,3,5,8,3,5,7,1,BA,O,
CCU,5,C,O,6,1,3,4,3,5,8,3,5,7,R2,A,-,
CCU,5,C,O,6,1,1,4,3,5,8,1,5,7,1,A,-,
CCU,5,C,O,1,23,1,4,3,5,8,2,5,7,T2,A,-,
CCU,5,C,O,5,11,2,4,3,5,8,2,4,11,6,A,O,
CCU,2,C,O,6,1,1,4,3,5,23,3,4,11,6,BA,O,
CCU,5,C,O,1,23,1,4,3,5,8,6,4,11,1,BK,O,W
CCU,5,C,O,6,1,3,4,3,5,8,3,3,10,1,E,O,L
CCU,5,C,O,5,11,2,4,3,5,8,3,3,10,1,K,+,W
CCU,2,C,O,5,11,3,4,3,5,17,3,3,10,1,K,O,W
CCU,2,C,O,5,11,2,4,3,5,17,3,4,11,1,BA,O,
CCU,2,C,O,6,1,3,4,3,5,17,3,5,7,1,A,+,
CCU,2,C,O,5,11,1,4,3,5,23,1,4,11,6,A,O,
CCU,2,C,O,5,11,1,4,3,5,17,6,5,7,T3,A,-,
CCU,6,A,O,1,1,1,4,2,5,8,1,5,7,1,E,O,L
CCU,6,A,O,1,7,2,4,2,5,8,3,5,7,6,BE,O,L
CCU,6,A,O,5,23,1,4,2,5,8,1,2,16,5,K,+,W
CCU,6,A,O,1,7,3,4,2,5,8,3,4,11,5,A,O,
CCU,6,A,O,1,7,1,4,2,5,8,2,5,7,2,K,O,W
CCU,6,C,O,6,1,3,4,2,5,8,3,2,16,1,E,O,L
CCU,3,C,O,6,1,1,,,,,,,,,,,
CCU,1,C,O,5,11,3,2,4,5,7,3,4,16,6,K,O,W
CCU,1,C,O,6,23,2,2,4,5,7,2,4,16,6,K,O,W
CCU,4,C,O,5,11,1,,,,,,,,,,,
CCU,1,C,O,6,23,3,2,4,5,7,3,5,5,1,A,O,
CCU,4,C,O,5,11,1,,,,,,,,,,,
CCU,1,A,O,5,11,3,4,B,5,7,3,B,16,5,K,+,W
CCU,2,C,O,1,11,1,4,2,5,7,1,4,19,1,K,O,W
CCU,2,C,O,1,4,3,4,2,5,7,3,SD,7,6,K,-,W
CCU,2,C,O,1,4,1,4,2,5,7,1,4,19,1,BA,O,
CCU,2,C,O,1,4,3,4,2,5,7,3,4,19,6,E,O,L
CCU,5,C,O,5,19,1,4,2,5,1,5,4,19,T2,A,-,
CCU,2,C,O,5,19,1,4,2,5,7,3,4,19,T1,A,-,
