Team,Rotation,Serve Loc,Speed,Pass Loc,Passer #,PassRTG,OH Path,MH Path,RS Path,Setter #,Setter zone,Set,Hitter #,Hit To,Result,Speed,FBWL
GSO,1,B,O,6,5,1,5,4,2,25,6,4,7,6,BA,O,
GSO,1,B,+,1,5,3,2,B,4,18,3,B,7,6,K,+,W
GSO,1,A,O,1,25,2,B,3,4,18,2,B,25,T4,K,-,W
GSO,1,B,+,1,5,2,B,3,4,18,2,B,25,1,E,O,L
GSO,1,C,+,1,25,0,,,,,,,,,,,L
GSO,1,B,+,5,16,3,4,3,5,18,2,SD,18,T5,A,-,
GSO,2,C,O,1,25,1,4,2,B,18,4,2,6,T3,BA,-,
GSO,2,C,+,6,25,2,4,2,B,18,2,4,8,1,BA,+,
GSO,2,C,O,1,8,0,,,,,,,,,,,L
GSO,2,C,O,5,8,1,2,B,4,18,6,4,6,6,BA,O,
GSO,2,B,+,6,5,0,,,,,,,,,,,L
GSO,2,B,+,5,8,1,4,3,5,18,4,4,8,5,BA,+,
GSO,2,B,O,1,25,1,4,2,5,18,1,2,7,1,BA,+,W
GSO,2,C,O,1,25,1,4,5,2,18,3,4,8,1,E,O,L
GSO,2,C,O,6,5,1,4,2,5,18,6,2,7,5,BE,O,L
GSO,2,C,O,1,25,1,4,B,5,18,6,4,8,1,A,O,
GSO,2,C,-,1,25,3,4,B,5,18,2,4,16,5,BA,+,
GSO,3,A,O,5,25,1,,,,,,,,,,,
GSO,3,A,O,5,8,2,4,3,5,18,3,5,6,5,E,O,L
GSO,3,A,O,6,25,3,4,C,3,18,3,4,8,5,BK,O,W
GSO,3,C,O,5,25,2,4,C,3,18,2,4,8,T2,K,-,W
GSO,3,A,O,6,25,1,4,3,5,18,3,5,6,5,BK,+,W
GSO,3,C,O,1,5,3,4,1,5,18,3,4,16,1,K,+,W
GSO,4,C,O,1,3,1,4,C,,18,5,C,10,1,A,O,
GSO,4,C,O,6,5,1,5,3,,18,5,5,8,R5,K,-,W
GSO,4,C,+,6,5,1,5,3,,18,6,5,8,1,E,O,L
GSO,4,C,+,1,3,1,4,C,,18,2,BRA,25,6,E,+,L
GSO,4,C,O,1,3,0,,,,,,,,,,,L
GSO,4,C,+,1,3,1,4,C,,18,1,,,,,,
GSO,4,C,O,1,3,2,4,C,,18,2,C,10,1,A,O,
GSO,4,C,+,1,3,1,4,C,,18,3,SD,18,T3,BE,-,L
GSO,5,C,O,6,5,1,4,2,,18,1,4,25,5,BA,O,
GSO,5,A,O,5,25,1,,,,,,,,,,,
GSO,5,A,O,5,25,1,4,C,,18,6,C,10,6,BK,O,W
GSO,5,A,+,6,5,2,4,C,,18,3,4,25,5,A,+,
GSO,5,A,O,6,5,3,4,C,,18,3,4,25,1,A,O,
GSO,5,A,+,6,5,2,4,C,,18,4,C,10,6,BA,O,
GSO,5,C,O,1,3,3,4,A,,18,2,4,25,5,K,+,W
GSO,6,A,O,6,3,1,4,B,,18,3,SD,18,T3,A,-,
GSO,6,A,O,6,3,1,4,B,,18,4,4,25,R6,A,-,
GSO,6,A,O,6,3,2,4,B,,18,4,4,25,R6,A,-,
GSO,6,A,O,6,3,1,4,B,,8,6,4,25,4,E,O,L
GSO,6,A,+,6,3,1,4,B,,18,3,SD,18,T2,K,-,W
GSO,1,A,O,1,25,1,5,3,4,18,1,4,6,T2,A,-,
GSO,1,A,O,1,25,1,5,3,4,5,5,4,6,R2,A,-,
GSO,1,A,O,6,5,0,,,,,,,,,,,L
GSO,1,A,O,5,8,0,,,,,,,,,,,L
GSO,1,A,O,5,8,0,,,,,,,,,,,L
GSO,1,A,O,5,25,3,2,3,4,18,3,3,7,6,BE,O,L
GSO,1,A,O,1,25,3,5,3,4,18,3,1,7,6,K,O,W
GSO,1,A,O,6,5,1,5,2,4,18,6,2,7,1,A,O,
GSO,1,A,O,6,5,0,,,,,,,,,,,L
GSO,1,A,O,1,25,1,5,3,4,5,1,BRA,8,FB,A,-,
GSO,1,A,O,1,25,2,5,3,4,18,3,4,6,T2,A,-,
GSO,1,A,O,5,8,1,2,B,4,25,5,4,6,R3,-,A,
GSO,1,A,O,5,8,0,,,,,,,,,,,L
GSO,1,A,O,6,5,1,5,3,4,18,5,4,6,6,BB,O,
GSO,1,A,O,6,25,3,3,B,4,18,3,3,25,1,K,+,W
GSO,1,A,O,1,25,1,,,,,,,,,,,
GSO,1,A,O,6,5,1,5,2,4,18,6,4,6,6,E,-,L
GSO,1,A,O,6,25,2,2,B,4,18,3,2,25,6,K,O,W
GSO,1,A,O,5,8,3,3,B,4,18,3,4,6,1,BA,O,
GSO,1,A,O,6,25,2,2,3,4,18,2,3,7,6,BA,O,
GSO,1,A,O,4,7,2,5,2,4,18,2,BRA,8,R6,A,-,
GSO,1,A,O,1,5,1,,,,,,,,,,,
GSO,1,A,O,6,25,3,2,B,4,18,3,2,25,1,K,O,W
GSO,1,C,O,6,25,0,,,,,,,,,,,L
GSO,1,C,O,5,8,1,2,B,4,25,5,4,6,6,K,+,W
GSO,1,C,O,6,25,2,2,B,4,18,3,2,25,T3,K,-,W
GSO,1,C,O,5,8,0,,,,,,,,,,,L
GSO,1,C,O,5,8,1,2,B,4,25,6,4,6,6,BE,O,L
GSO,1,C,O,5,8,1,2,B,4,18,1,2,25,T1,A,-,
GSO,2,A,-,6,5,1,4,B,5,18,6,B,7,6,BK,O,W
GSO,2,A,-,6,5,2,4,B,5,18,3,B,7,5,K,O,W
GSO,2,A,-,1,5,3,4,3,5,18,3,3,7,5,A,O,
GSO,2,A,-,5,5,1,4,B,5,18,5,4,8,T2,K,-,W
GSO,2,A,O,1,25,3,4,B,5,18,3,2,7,FB,A,-,
GSO,2,A,O,6,5,1,4,B,5,18,5,4,8,6,K,O,W
GSO,2,B,-,6,5,3,4,3,B,18,3,B,6,1,BA,O,
GSO,2,A,O,6,5,3,2,B,4,18,3,2,8,6,BK,+,W
GSO,2,A,O,1,25,2,2,5,4,18,3,2,8,1,K,O,W
GSO,2,C,O,1,25,1,4,B,5,18,6,4,8,5,A,O,
GSO,2,C,O,1,25,1,,,,,,,,,,,
GSO,3,C,O,6,25,3,4,3,5,18,3,5,6,1,K,+,W
GSO,3,C,O,5,8,1,4,3,5,5,1,4,8,5,K,-,W
GSO,3,C,O,6,25,0,,,,,,,,,,,W
GSO,3,A,O,5,8,2,4,3,5,18,3,BRA,25,5,K,+,W
GSO,3,A,O,5,8,0,,,,,,,,,,,L
GSO,3,A,O,6,25,2,4,C,B,18,4,B,6,T1,A,-,
GSO,3,A,O,5,25,2,3,C,4,18,3,3,8,1,K,+,W
GSO,3,A,O,1,5,3,2,3,5,18,3,5,6,1,BA,O,
GSO,3,C,O,6,25,3,4,3,5,18,3,BRA,25,6,K,+,W
GSO,3,C,O,6,25,1,4,3,5,8,4,BRA,25,1,A,-,
GSO,3,A,-,5,25,1,4,3,5,5,6,4,8,5,A,O,
GSO,3,A,O,1,5,1,4,3,5,18,6,3,10,T3,A,-,
GSO,4,A,O,6,5,2,4,C,,18,3,C,10,6,A,-,
GSO,4,A,O,5,25,2,4,3,,18,3,3,10,5,K,O,W
GSO,4,A,O,6,5,2,4,C,,18,2,BRA,25,T3,A,-,
GSO,4,A,O,5,25,0,,,,,,,,,,,L
GSO,4,A,-,5,5,2,4,C,,18,3,BRA,25,5,E,O,L
GSO,4,A,-,6,5,3,4,C,,18,3,C,10,6,BA,O,
GSO,4,A,O,5,25,1,4,C,,18,1,4,8,5,A,O,
GSO,4,B,-,6,5,1,4,3,,25,6,4,8,R6,A,-,
GSO,4,B,-,5,5,1,4,C,,18,3,SD,18,T4,A,-,
GSO,4,B,-,6,5,3,2,C,,18,3,2,8,1,K,O,W
GSO,4,B,-,1,3,2,3,C,,18,3,3,8,T3,A,-,
GSO,4,C,O,5,25,1,4,C,,18,6,4,8,T3,K,-,W
GSO,4,C,O,6,5,3,2,C,,18,3,2,8,5,K,+,W
GSO,5,A,-,6,5,2,4,C,,18,4,4,25,5,K,O,W
GSO,5,A,O,1,3,2,4,C,,18,4,4,25,6,BA,O,
GSO,5,A,O,1,3,1,4,C,,10,2,4,25,FB,A,-,
GSO,5,A,O,1,3,2,4,1,,18,2,4,25,1,K,O,W
GSO,5,C,O,1,3,6,4,1,,18,6,4,25,T2,BB,-,
GSO,5,C,O,6,3,3,4,3,,18,3,4,25,6,BB,O,
GSO,5,C,O,5,25,3,3,C,,18,3,3,25,5,BK,+,W
GSO,5,C,O,1,3,1,3,C,,18,3,SD,18,T3,BB,-,
GSO,5,C,O,1,3,3,4,3,,18,3,4,25,1,BE,O,L
GSO,5,A,O,6,5,1,4,C,,18,6,C,10,1,BK,O,W
GSO,5,A,O,5,25,0,,,,,,,,,,,L
GSO,5,A,O,6,5,2,4,C,,18,4,C,10,T4,A,-,
GSO,5,A,O,6,5,3,2,C,,18,3,2,25,5,E,O,L
GSO,5,A,O,5,25,1,4,C,,18,4,4,25,1,A,O,
GSO,5,A,O,5,5,1,,,,,,,,,,,
GSO,6,C,O,6,3,2,4,B,,18,4,4,25,5,A,O,
GSO,6,C,O,5,25,3,4,B,,18,3,B,7,6,BB,O,
GSO,6,C,O,5,25,3,4,B,,18,3,B,7,1,K,O,W
GSO,6,C,O,6,3,1,4,B,,18,6,4,25,4,A,O,
GSO,6,C,O,6,3,3,4,B,,18,3,B,7,5,BE,O,L
GSO,6,C,O,5,3,1,4,B,,18,3,SD,18,T1,E,-,L
GSO,6,A,O,5,3,2,4,B,,18,3,4,25,T2,A,-,
GSO,6,A,-,4,7,6,3,B,,18,6,3,25,5,BA,O,
GSO,6,A,O,5,3,3,5,3,,18,3,3,7,5,K,O,W
GSO,6,A,O,5,3,2,2,4,,18,3,2,25,1,A,O,
GSO,6,A,O,6,3,2,3,B,,18,3,3,25,T2,BB,-,
GSO,6,A,O,6,5,2,5,4,,18,4,4,7,6,BK,O,W
GSO,6,A,O,1,5,3,2,4,,18,3,2,25,1,K,+,W
GSO,6,A,O,6,3,3,4,B,,18,3,B,7,6,K,O,W
GSO,1,C,o,6,5,1,5,1,4,18,2,5,25,t3,a,-,
GSO,1,c,o,6,5,1,5,1,4,18,1,5,25,5,a,o,
GSO,1,c,o,6,5,3,5,1,4,18,3,5,25,5,k5,o,w
GSO,1,c,o,6,5,1,5,1,4,25,1,4,6,1,bk1,+,w
GSO,1,c,o,6,5,3,5,1,4,18,3,5,25,6,k6,+,w
GSO,1,c,o,6,5,3,5,1,4,18,3,4,6,5,e5,+,l
GSO,1,c,o,6,5,3,5,1,4,18,3,5,25,5,bk5,+,w
GSO,1,c,o,6,5,0,,,,,,,,,,,l
GSO,1,c,o,5,8,0,,,,,,,,,,,l
GSO,1,c,o,6,5,1,5,1,4,18,6,5,25,1,a,o,
GSO,1,c,o,6,25,2,5,1,4,18,3,5,25,t4,a,-,
GSO,1,c,o,3,10,1,,,,,,,,,,,
GSO,1,c,o,5,25,0,,,,,,,,,,,l
GSO,1,c,o,5,5,3,5,1,4,18,3,4,6,5,k5,+,w
GSO,1,c,o,1,8,3,5,1,4,18,3,5,25,t3,a,-,
GSO,1,c,o,5,8,1,5,1,4,25,6,4,6,6,a,o,
GSO,2,a,o,5,8,3,4,1,5,18,3,5,6,6,k6,+,w
GSO,2,a,o,5,8,3,4,1,5,18,1,bra,25,1,a,o,
GSO,2,a,o,5,6,1,4,1,5,18,5,5,6,5,k5,+,w
GSO,2,a,o,5,8,2,4,1,5,18,3,5,6,1,ba1,o,
GSO,2,a,o,5,8,2,4,1,5,18,3,1,10,t3,a,-,
GSO,2,a,o,5,8,2,4,1,5,18,3,5,6,1,k1,+,w
GSO,2,a,o,1,25,2,4,1,5,18,3,5,6,6,bk1,+,w
GSO,2,a,o,5,8,0,,,,,,,,,,,l
GSO,2,a,o,5,8,2,4,1,5,18,3,1,10,5,be5,+,l
GSO,2,a,o,6,5,0,,,,,,,,,,,l
GSO,2,a,o,5,8,1,,,,,,,,,,,
GSO,2,a,o,5,6,2,4,1,5,18,3,5,6,5,be5,+,l
GSO,2,a,o,6,5,3,4,1,5,18,3,4,8,1,k1,+,w
GSO,2,a,o,1,25,1,4,1,5,18,6,4,8,5,a,o,
GSO,2,a,o,5,5,1,4,1,5,25,6,4,8,t3,ba3,-,
GSO,2,a,o,6,5,1,4,1,5,18,6,4,8,t3,a,-,c
GSO,3,c,o,5,8,0,,,,,,,,,,,l
GSO,3,c,o,6,25,3,4,1,5,18,3,1,7,5,k5,+,w
GSO,3,c,o,6,25,3,4,b,5,18,3,sd3,18,sd3,a,-,
GSO,3,c,o,5,8,1,4,1,5,18,6,4,8,5,ba5,o,
GSO,3,c,+,6,25,0,,,,,,,,,,,l
GSO,3,c,o,5,25,3,4,1,5,18,3,5,6,6,e6,+,l
GSO,3,c,o,5,25,3,4,1,5,18,3,4,8,t1,e1,-,l
