Team,Rotation,Serve Loc,Speed,Pass Loc,Passer #,PassRTG,OH Path,MH Path,RS Path,Setter #,Setter zone,Set,Hitter #,Hit To,Result,Speed,FBWL
ISUB,1,A,O,5,5,1,4,C,2,2,1,4,5,6,BA,O,
ISUB,1,A,O,5,5,1,4,C,2,8,6,4,5,T1,A,-,
ISUB,1,C,O,6,10,0,,,,,,,,,,,L
ISUB,1,C,O,5,10,1,4,C,2,2,6,4,5,6,K,O,W
ISUB,1,C,O,5,10,3,4,C,2,2,3,2,13,6,BK,O,W
ISUB,1,C,O,5,10,3,4,C,2,2,3,2,13,5,E, +,L
ISUB,1,C,O,6,10,3,4,1,3,2,2,4,5,T1,A,-,
ISUB,1,C,O,5,5,1,2,C,4,8,1,4,13,5,K,O,
ISUB,1,C,O,6,10,3,2,C,4,2,3,2,5,1,A,O,
ISUB,1,C,O,1,8,3,5,1,4,2,3,4,13,5,BK,O,W
ISUB,1,C,O,1,8,3,2,C,4,2,2,4,13,6,A,O,
ISUB,1,C,O,6,8,3,5,3,4,2,2,BRA,10,6,A,O,
ISUB,1,A,O,4,1,3,5,1,4,2,3,4,13,5,K,O,W
ISUB,1,A,O,1,19,3,2,C,4,2,2,2,19,T1,K,-,W
ISUB,2,C,O,1,21,3,4,1,5,2,2,4,19,6,A,O,
ISUB,2,A,O,5,19,2,4,1,5,2,3,5,13,5,BK,O,W
ISUB,2,C,O,6,8,3,4,1,5,3,3,5,13,1,K, +,W
ISUB,2,C,O,5,19,3,4,1,5,2,3,5,13,5,K,O,W
ISUB,2,A,O,6,8,3,4,3,5,2,3,5,13,1,BK,O,W
ISUB,2,A,O,1,21,1,4,3,5,2,2,5,13,T4,A,-,
ISUB,2,A,O,5,19,3,4,3,5,2,2,5,13,6,BA,O,
ISUB,2,C,O,5,19,2,4,1,5,2,3,5,13,1,E,O,L
ISUB,2,C,O,2,1,1,4,1,5,2,6,4,19,R6,K,-,W
ISUB,2,A,O,5,19,3,4,1,5,2,3,4,19,6,BK,O,W
ISUB,3,A,O,5,21,3,4,3,5,2,3,5,13,6,BK,O,W
ISUB,3,A,O,5,21,3,4,C,2,2,3,2,13,5,K, +,W
ISUB,3,A,O,5,21,3,4,3,5,2,3,5,13,T4,BK,-,W
ISUB,3,A,O,5,21,3,4,3,5,2,3,5,13,5,BE,O,L
ISUB,3,A,O,5,3,3,4,1,5,2,3,4,19,6,A,O,
ISUB,3,C,O,5,21,3,4,C,2,2,3,4,19,6,K,O,W
ISUB,3,C,O,5,19,2,4,1,5,2,3,4,19,6,E,O,L
ISUB,3,C,O,5,19,3,4,3,5,2,3,5,13,6,K,O,W
ISUB,3,A,O,6,8,1,4,1,5,2,4,1,3,1,BA,O,
ISUB,3,A,O,6,21,0,,,,,,,,,,,L
ISUB,3,A,O,5,10,1,4,C,2,21,6,4,10,6,BK,O,W
ISUB,3,A,O,5,21,1,4,1,5,3,5,4,10,1,A,O,
ISUB,3,A,O,6,21,3,4,C,2,2,3,4,10,6,BA,O,
ISUB,3,A,O,6,21,3,4,C,2,2,3,2,13,1,K, +,W
ISUB,4,A,O,5,19,1,4,C,,8,6,4,19,6,A,O,
ISUB,4,A,O,5,19,3,4,C,,2,3,4,19,6,K,O,W
ISUB,4,A,O,5,3,3,4,C,,2,3,4,19,T1,A,-,
ISUB,4,A,O,5,19,0,,,,,,,,,,,L
ISUB,4,A,O,5,21,0,,,,,,,,,,,L
ISUB,4,A,-,6,3,3,4,C,,2,3,4,19,6,E,O,L
ISUB,4,A,O,1,19,3,5,1,4,12,3,1,3,6,BA,O,
ISUB,4,A,O,1,19,3,5,3,4,12,3,4,15,6,BE,O,L
ISUB,4,A,-,5,19,3,4,C,2,2,3,C,3,1,A,O,
ISUB,4,C,O,6,21,3,4,C,,2,3,C,3,1,K,O,W
ISUB,4,C,O,4,3,3,4,1,,2,3,4,19,1,BK,O,W
ISUB,4,A,O,5,21,3,4,C,,2,3,SD,2,6,A,-,
ISUB,4,A,O,5,19,1,4,C,,2,4,4,19,T1,A,-,
ISUB,4,A,O,5,5,2,4,C,,2,2,C,3,6,BA,O,
ISUB,4,A,O,5,5,2,4,C,,2,3,4,5,1,BE,O,L
ISUB,4,A,O,5,5,1,,,,,,,,,,,
ISUB,4,A,O,6,10,2,3,1,,2,2,1,3,T5,A,-,
ISUB,4,A,O,5,10,3,4,C,,2,3,4,10,6,BK,O,W
ISUB,4,A,O,6,21,3,4,C,,2,3,4,10,6,BA,O,
ISUB,4,A,O,5,10,3,4,C,,2,3,C,3,6,BE,O,L
ISUB,4,A,O,6,21,3,4,C,,2,3,C,3,1,E,O,L
ISUB,4,A,O,5,10,3,4,C,,2,3,4,10,T1,BA,-,
ISUB,5,A,O,5,5,3,4,C,,2,3,C,3,6,BA,O,
ISUB,5,A,O,5,5,2,4,C,,2,3,4,5,6,BK,O,W
ISUB,5,A,O,5,5,2,4,C,2,12,4,C,3,6,BA,O,
ISUB,5,A,O,5,5,2,4,C,2,12,4,4,5,6,A,O,
ISUB,5,A,O,5,5,3,4,A,,2,3,4,5,5,K,O,W
ISUB,5,A,O,6,8,1,4,C,,2,1,BRA,10,T3,A,-,
ISUB,5,A,O,6,8,2,4,C,,2,4,4,5,4,K,O,W
ISUB,5,A,O,5,8,3,4,C,,2,3,C,3,5,K,O,W
ISUB,5,A,O,5,5,1,4,C,,2,6,4,5,1,K,O,W
ISUB,5,A,O,5,5,0,,,,,,,,,,,L
ISUB,5,A,O,5,8,1,4,C,,2,1,4,5,6,BA,O,
ISUB,5,A,O,5,5,1,4,C,,12,1,BRA,10,5,A,O,
ISUB,5,A,O,5,8,3,4,C,,2,3,4,19,R5,BA,O,
ISUB,5,A,O,5,19,3,4,C,,2,3,4,19,6,A,O,
ISUB,5,A,O,6,8,3,4,C,,2,3,SD,2,6,A,-,
ISUB,6,C,O,5,5,3,4,C,,2,3,C,1,1,A,O,
ISUB,6,C,O,6,10,2,4,C,,2,3,4,5,1,K,-,W
ISUB,6,C,O,6,10,0,,,,,,,,,,,L
ISUB,6,A,O,6,10,1,4,C,,2,2,FB,1,6,A,-,
ISUB,6,A,O,6,10,3,4,C,,2,3,C,1,1,BK,O,W
ISUB,6,A,O,6,10,3,4,C,,2,3,C,1,6,BA,O,
ISUB,6,A,O,5,5,3,4,1,,2,3,4,5,5,A,O,
ISUB,6,A,O,6,10,3,4,1,5,12,3,4,5,6,BA,O,
ISUB,6,A,O,5,5,2,4,1,5,12,4,SD,12,6,A,-,
ISUB,6,A,O,5,5,3,4,C,,2,3,C,1,T5,A,-,
ISUB,6,A,O,5,5,1,4,C,,2,6,BRA,10,R6,A,-,
ISUB,6,A,O,5,5,3,4,1,5,12,3,4,5,1,K,O,W
ISUB,6,A,O,5,5,1,4,1,5,12,1,4,5,R6,A,-,
ISUB,6,A,O,5,5,0,,,,,,,,,,,L
ISUB,6,A,O,5,10,1,4,1,5,12,6,4,5,R6,A,-,
ISUB,6,A,O,5,10,3,4,1,5,12,3,1,1,6,E,O,L
ISUB,6,A,O,5,10,2,4,1,5,12,4,4,5,5,BA,O,
ISUB,6,A,O,5,10,1,4,1,5,12,5,4,5,6,A,O,
ISUB,1,A,O,6,8,3,5,3,4,12,3,4,15,5,E,O,L
ISUB,1,A,O,6,8,3,5,1,4,12,2,1,3,6,BA,O,
